新聞台,#genre#
TVBS-新聞臺,http://aktv_stream1.m16tv.cfd/stream/aktv/tvbs-1/AKTV.m3u8
TVBS新聞,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS新聞,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941622&extension=ts&play_token=E9ymAxKoVJ
TVBS新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=40
TVBS新聞HD,http://122.117.71.103:8662/http/61.222.53.250:8081/hls/75/817/ch59.m3u8
tvbs新聞頻道,http://122.117.71.103:8662/tvbs%E6%96%B0%E9%97%BB.m3u8
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
三立NEWS+,https://www.youtube.com/watch?v=oZdzzvxTfUY
三立新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
三立新聞,https://cdn.iptv8k.top/dl/jrys.php?id=273&time=20240926215313&ip=111.229.253.40
三立新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=63
三立新聞HD,http://122.117.71.103:8683/http/61.222.53.250:8081/hls/65/807/ch18.m3u8
三立新聞iNEWS,http://aktv-stream.m16tv.cfd/stream/taiwan/inews/AKTV.m3u8
三立新聞臺,https://www.youtube.com/watch?v=FoBfXvlOR6I
三立新聞頻道,http://122.117.71.103:8683/%E4%B8%89%E7%AB%8B%E6%96%B0%E9%97%BB.m3u8
中天新聞,http://222.128.55.152:9080/live/fc.m3u8
中天新聞,http://122.117.71.103:8661/http/61.222.53.250:8081/hls/78/80/ch63max.m3u8
中天新聞,http://qwt.zhibotv.top:2016/全网通.php?id=中天新闻
中天新聞,http://kkk.888.3116598.xyz//api.php?n=HKTV&id=MHgHPf&tk=on7ptxNRYztN
中天新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=37
中天新聞,https://s1.m16tv.cfd/zhongtian/CH-0/AKTV.m3u8
中天新聞1臺,https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新聞2臺,https://www.youtube.com/watch?v=WPfPjbOLNfE
中天新聞臺,http://cdn.iptv8k.top/dl/jspd.php?id=1
中天新聞臺,http://aktv-stream.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
中天新聞臺,http://aktv_stream1.m16tv.cfd/stream/aktv/null-6/AKTV.m3u8
中天新聞臺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=67fruw&tk=ubY7XqjFrKz1
中天新聞頻道,http://122.117.71.103:8661/%E4%B8%AD%E5%A4%A9%E6%96%B0%E9%97%BB.m3u8
中視新聞,http://aktv-stream.m16tv.cfd/stream/taiwan/null-13/AKTV.m3u8
中視新聞,http://kkk.888.3116598.xyz//api.php?n=HKTV&id=eUUFVT&tk=on7ptxNRYztN
中視新聞,http://38.64.72.148/hls/modn/list/4010/playlist.m3u8
中視新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=77
中視新聞臺,https://www.youtube.com/watch?v=TCnaIE_SAtM
亞洲新聞,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亞洲新聞,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
亞洲新聞,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亞洲新聞,https://stream1.freetv.fun/98eb74ca7a9f28132802504e43b676e6ff74d4a89e623ad4b8e9a92c14b5b287.m3u8
亞洲新聞臺,http://aktv-stream.m16tv.cfd/stream/aktv3/null-3/AKTV.m3u8
亞洲新聞臺,http://aktv_stream1.m16tv.cfd/stream/aktv3/null-3/AKTV.m3u8
半島新聞,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
半島新聞,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半島新聞,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
半島新聞,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
壹新聞,http://122.117.71.103:8686/http/61.222.53.250:8081/hls/66/808/ch24.m3u8
壹新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=36
壹新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=42
寰宇新聞,http://222.128.55.152:9080/live/hy.m3u8
寰宇新聞,http://122.117.71.103:8685/http/61.222.53.250:8081/hls/76/818/ch62.m3u8
寰宇新聞,http://qwt.zhibotv.top:2016/全网通.php?id=寰宇新闻
寰宇新聞,http://kkk.888.3116598.xyz//api.php?n=HKTV&id=bMrzyr&tk=on7ptxNRYztN
寰宇新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=45
寰宇新聞臺,http://aktv-stream.m16tv.cfd/stream/aktv/null-7/AKTV.m3u8
寰宇新聞臺,http://aktv_stream1.m16tv.cfd/stream/aktv/null-7/AKTV.m3u8
寰宇新聞臺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nIOFXT&tk=ubY7XqjFrKz1
寰宇新聞臺,https://www.youtube.com/watch?v=6IquAgfvYmc
年代新聞,http://122.117.71.103:8659/http/61.222.53.250:8081/hls/67/809/ch27.m3u8
年代新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=43
年代新聞頻道,http://122.117.71.103:8659/%E5%B9%B4%E4%BB%A3%E6%96%B0%E9%97%BB.m3u8
東森新聞,http://47.239.163.171/HDTV/QQ群1047470024.php?id=47
東森新聞,http://aktv-stream.m16tv.cfd/stream/aktv2/null/AKTV.m3u8
東森新聞,http://aktv_stream1.m16tv.cfd/stream/aktv2/null/AKTV.m3u8
東森新聞(VPN),http://211.23.114.106:8510/http/61.221.81.94:8088/hls/71/813/ch44.m3u8
東森新聞HD,http://122.117.71.103:8660/http/61.222.53.250:8081/hls/63/805/ch10.m3u8
東森新聞臺,https://www.youtube.com/live/V1p33hqPrUk?si=IyGTwsTSIL7hXDKN
